order_id,lat,lon,created_at,weight_kg,priority
ORD-00029,10.771109,106.693211,2025-01-14T17:03:00,3.4,express
ORD-00030,10.787622,106.682043,2025-02-19T20:34:00,3.75,express
ORD-00031,10.764789,106.695117,2025-01-21T04:51:00,6.93,normal
ORD-00032,10.759872,106.714973,2025-01-04T16:59:00,6.1,normal
ORD-00033,10.764154,106.695969,2025-02-25T02:57:00,0.75,express
ORD-00034,10.75808,106.692446,2025-04-27T23:27:00,5.66,express
ORD-00035,10.763727,106.688978,2025-01-15T15:47:00,2.71,normal
ORD-00036,10.779615,106.696605,2025-05-16T19:03:00,7.7,normal
ORD-00037,10.7895,106.680535,2025-01-18T21:25:00,1.22,normal
ORD-00038,10.77942,106.67947,2025-01-22T03:42:00,4.79,express
ORD-00039,10.792584,106.685558,2025-03-22T21:16:00,3.35,express
ORD-00040,10.774917,106.712374,2025-01-19T14:29:00,5.08,normal
ORD-00041,10.760711,106.685887,2025-03-09T18:59:00,2.99,normal
ORD-00042,10.790533,106.691673,2025-02-11T04:53:00,4.48,express
ORD-00043,10.780632,106.714528,2025-06-18T06:00:00,5.44,express
ORD-00044,10.792475,106.681833,2025-02-04T22:07:00,7.15,normal
ORD-00045,10.768077,106.700379,2025-03-29T20:43:00,5.18,express
ORD-00046,10.7767,106.687291,2025-01-14T16:40:00,3.56,express
ORD-00047,10.759631,106.690342,2025-02-03T22:10:00,6.01,express
ORD-00048,10.778754,106.682139,2025-06-26T18:34:00,0.58,express
ORD-00049,10.779553,106.683479,2025-02-02T15:19:00,3.11,normal
ORD-00050,10.79126,106.685773,2025-03-05T17:22:00,6.31,express
ORD-00051,10.794032,106.705731,2025-03-02T19:51:00,6.54,express
ORD-00052,10.758917,106.705253,2025-03-28T03:51:00,5.46,normal
ORD-00053,10.767872,106.707133,2025-01-29T02:55:00,0.6,express
ORD-00054,10.76623,106.708214,2025-04-29T01:19:00,6.62,normal
ORD-00055,10.766248,106.702421,2025-04-14T00:17:00,6.96,express
ORD-00056,10.770992,106.696848,2025-06-24T00:01:00,1.19,express
ORD-00057,10.764607,106.713614,2025-03-09T15:06:00,4.89,express
ORD-00058,10.784956,106.689606,2025-06-06T06:07:00,3.27,normal
ORD-00059,10.767425,106.704225,2025-01-02T06:59:00,6.51,normal
ORD-00060,10.771476,106.680589,2025-06-21T00:39:00,2.72,normal
ORD-00061,10.784631,106.689112,2025-03-22T03:20:00,3.4,express
ORD-00062,10.778513,106.685098,2025-06-21T02:43:00,6.06,normal
ORD-00063,10.780774,106.689135,2025-05-21T14:19:00,2.51,express
ORD-00064,10.787073,106.700446,2025-03-25T04:28:00,3.7,normal
ORD-00065,10.776913,106.707368,2025-02-13T16:18:00,4.27,express
ORD-00066,10.761455,106.713224,2025-03-02T23:14:00,6.51,normal
ORD-00067,10.758904,106.687059,2025-05-02T16:29:00,3.49,normal
ORD-00068,10.784579,106.692207,2025-04-13T21:09:00,5.35,normal
ORD-00069,10.791028,106.709836,2025-01-29T03:14:00,1.65,express
ORD-00070,10.759858,106.68722,2025-02-02T04:08:00,6.47,express
ORD-00071,10.793151,106.710983,2025-06-07T06:27:00,6.7,express
ORD-00072,10.791197,106.705515,2025-05-03T04:16:00,6.09,express
ORD-00073,10.786335,106.697288,2025-06-10T21:17:00,3.69,express
ORD-00074,10.766676,106.690426,2025-05-19T16:08:00,1.46,express
ORD-00075,10.783676,106.704138,2025-01-18T03:26:00,2.85,express
ORD-00076,10.773384,106.685653,2025-04-19T02:57:00,6.23,normal
ORD-00077,10.789699,106.706327,2025-04-09T05:00:00,7.56,express
ORD-00078,10.785879,106.709578,2025-04-18T21:31:00,1.99,express
ORD-00079,10.775969,106.692388,2025-06-22T02:46:00,1.57,express
ORD-00080,10.792023,106.714287,2025-05-17T14:58:00,3.33,normal
ORD-00081,10.761106,106.693859,2025-04-29T19:03:00,2.3,express
ORD-00082,10.765831,106.690093,2025-04-08T22:48:00,7.62,express
ORD-00083,10.767334,106.681031,2025-01-05T15:22:00,2.03,normal
ORD-00084,10.786906,106.702115,2025-01-08T21:12:00,6.76,normal
ORD-00085,10.766826,106.695522,2025-01-30T20:29:00,5.69,express
ORD-00086,10.764208,106.700468,2025-01-30T19:19:00,1.13,normal
ORD-00087,10.792369,106.699304,2025-04-08T02:45:00,1.83,normal
ORD-00088,10.76177,106.706582,2025-06-25T17:50:00,7.88,normal
ORD-00089,10.770847,106.69385,2025-04-05T16:32:00,5.29,normal
ORD-00090,10.789434,106.708426,2025-01-29T03:23:00,5.19,express
ORD-00091,10.78417,106.694113,2025-05-14T22:39:00,6.52,express
ORD-00092,10.7752,106.708552,2025-06-01T22:20:00,6.86,normal
ORD-00093,10.76832,106.69468,2025-04-30T02:21:00,0.52,express
ORD-00094,10.764728,106.685848,2025-03-09T00:17:00,7.08,express
ORD-00095,10.778564,106.697115,2025-02-18T16:15:00,5.84,express
ORD-00096,10.778542,106.686892,2025-05-03T05:28:00,6.41,normal
ORD-00097,10.768887,106.692963,2025-03-04T23:42:00,4.78,express
ORD-00098,10.778478,106.690719,2025-05-22T00:22:00,5.71,express
ORD-00099,10.769345,106.68653,2025-02-20T00:07:00,6.02,normal
ORD-00100,10.765087,106.705328,2025-03-13T06:38:00,2.48,normal
ORD-00101,10.788807,106.688961,2025-04-03T19:19:00,0.41,normal
ORD-00102,10.76815,106.714049,2025-05-22T23:44:00,7.57,express
ORD-00103,10.761796,106.678454,2025-03-15T05:30:00,3.69,normal
ORD-00104,10.793723,106.687342,2025-05-03T17:52:00,0.8,express
ORD-00105,10.760741,106.701289,2025-01-14T18:09:00,6.55,express
ORD-00106,10.761152,106.687183,2025-05-24T03:38:00,4.89,normal
ORD-00107,10.786701,106.692074,2025-04-24T23:55:00,4.83,express
ORD-00108,10.769299,106.700978,2025-06-06T17:48:00,1.9,normal
ORD-00109,10.767792,106.681004,2025-03-03T19:35:00,0.88,normal
ORD-00110,10.773115,106.703507,2025-05-01T23:02:00,2.08,express
ORD-00111,10.784011,106.694799,2025-06-25T21:59:00,2.34,normal
ORD-00112,10.77373,106.698149,2025-06-15T18:58:00,2.35,normal
ORD-00113,10.760642,106.684139,2025-03-20T23:28:00,1.26,express
ORD-00114,10.78389,106.712879,2025-05-10T05:28:00,0.92,normal
ORD-00115,10.790909,106.705178,2025-06-04T22:01:00,1.0,normal
ORD-00116,10.794984,106.702874,2025-03-10T15:48:00,6.12,express
ORD-00117,10.777202,106.694362,2025-03-13T19:37:00,3.66,express
ORD-00118,10.793855,106.69539,2025-04-16T00:20:00,5.46,normal
ORD-00119,10.770203,106.703666,2025-03-16T02:52:00,6.16,normal
ORD-00120,10.774829,106.689637,2025-03-24T17:49:00,3.41,normal
ORD-00121,10.782333,106.698076,2025-04-16T15:12:00,4.29,express
ORD-00122,10.78114,106.70612,2025-02-22T22:35:00,1.31,express
ORD-00123,10.77421,106.703835,2025-02-01T14:40:00,4.99,normal
ORD-00124,10.784262,106.689498,2025-01-05T03:05:00,2.03,normal
ORD-00125,10.775074,106.682346,2025-02-10T05:59:00,5.82,express
ORD-00126,10.773373,106.695852,2025-05-01T21:29:00,4.54,express
ORD-00127,10.765053,106.700177,2025-02-04T16:17:00,6.25,express
ORD-00128,10.770575,106.707146,2025-03-10T14:18:00,5.89,express
ORD-00129,10.790015,106.694522,2025-05-05T01:21:00,4.55,express
ORD-00130,10.774848,106.689906,2025-02-18T21:36:00,3.25,express
ORD-00131,10.759615,106.705554,2025-07-01T02:24:00,7.91,normal
ORD-00132,10.776327,106.67937,2025-05-10T00:55:00,1.07,express
ORD-00133,10.761689,106.711686,2025-01-04T18:26:00,7.01,normal
ORD-00134,10.760769,106.706916,2025-03-10T00:39:00,5.63,normal
ORD-00135,10.789515,106.709537,2025-05-18T02:20:00,5.13,express
ORD-00136,10.790278,106.679328,2025-01-18T21:40:00,5.57,express
ORD-00137,10.794905,106.70563,2025-04-22T17:48:00,5.18,normal
ORD-00138,10.774416,106.703678,2025-01-08T15:20:00,6.43,express
ORD-00139,10.771263,106.693935,2025-03-05T06:26:00,4.66,normal
ORD-00140,10.764289,106.680922,2025-04-08T21:31:00,7.33,normal
ORD-00141,10.766591,106.701602,2025-04-28T22:42:00,0.37,express
ORD-00142,10.791345,106.703072,2025-02-10T16:28:00,7.58,express
ORD-00143,10.781641,106.693699,2025-03-07T04:54:00,2.63,express
ORD-00144,10.789573,106.681946,2025-04-09T01:36:00,2.58,express
ORD-00145,10.758812,106.708711,2025-04-12T22:00:00,4.66,normal
ORD-00146,10.791693,106.705571,2025-03-15T21:38:00,6.47,normal
ORD-00147,10.781555,106.700973,2025-06-23T18:40:00,1.05,normal
ORD-00148,10.769431,106.69431,2025-05-30T01:46:00,1.31,express
ORD-00149,10.770089,106.693374,2025-02-21T18:50:00,4.45,express
ORD-00150,10.777642,106.711799,2025-02-12T22:58:00,6.65,express
ORD-00151,10.793793,106.68892,2025-03-28T17:29:00,7.71,normal
ORD-00152,10.785904,106.686348,2025-06-24T02:54:00,6.5,express
ORD-00153,10.761341,106.692599,2025-03-09T17:29:00,3.14,express
ORD-00154,10.779629,106.708429,2025-04-06T17:43:00,2.1,normal
ORD-00155,10.780923,106.712897,2025-03-25T21:41:00,0.79,express
ORD-00156,10.791647,106.689181,2025-04-15T17:08:00,0.65,normal
ORD-00157,10.769261,106.696227,2025-01-25T21:56:00,4.44,express
ORD-00158,10.774785,106.702808,2025-06-29T03:37:00,6.02,normal
ORD-00159,10.79076,106.702232,2025-05-07T03:17:00,0.55,express
ORD-00160,10.766039,106.694454,2025-03-03T01:06:00,7.85,express
ORD-00161,10.778145,106.71418,2025-04-02T15:25:00,2.42,normal
ORD-00162,10.793113,106.708495,2025-01-24T20:41:00,5.22,normal
ORD-00163,10.759871,106.69034,2025-02-02T20:04:00,6.69,normal
ORD-00164,10.779696,106.708083,2025-03-02T00:49:00,1.44,normal
ORD-00165,10.768259,106.714409,2025-02-03T22:51:00,1.64,normal
ORD-00166,10.762877,106.691255,2025-03-03T00:01:00,1.64,normal
ORD-00167,10.76269,106.693576,2025-01-30T16:30:00,3.75,express
ORD-00168,10.77699,106.682035,2025-05-09T21:39:00,0.63,express
ORD-00169,10.774948,106.713669,2025-01-17T05:54:00,3.39,normal
ORD-00170,10.77614,106.711659,2025-01-19T16:20:00,4.98,normal
ORD-00171,10.762669,106.7011,2025-05-31T00:24:00,7.96,express
ORD-00172,10.774787,106.700401,2025-01-26T17:54:00,5.34,normal
ORD-00173,10.773913,106.710859,2025-04-17T00:52:00,3.79,express
ORD-00174,10.784996,106.689564,2025-03-22T22:23:00,7.64,express
ORD-00175,10.760484,106.708776,2025-01-25T03:06:00,6.03,express
ORD-00176,10.788035,106.698586,2025-06-01T00:42:00,1.24,express
ORD-00177,10.790323,106.712822,2025-04-19T15:18:00,4.92,express
ORD-00178,10.761833,106.696774,2025-02-10T05:14:00,6.82,express
ORD-00179,10.789279,106.6916,2025-03-13T21:51:00,3.6,normal
ORD-00180,10.780533,106.70234,2025-06-27T22:01:00,1.69,express
ORD-00181,10.792097,106.690988,2025-02-16T18:36:00,5.36,normal
ORD-00182,10.763249,106.701427,2025-01-08T16:47:00,4.38,express
ORD-00183,10.773534,106.690613,2025-04-05T23:46:00,2.8,normal
ORD-00184,10.790684,106.683756,2025-06-08T15:43:00,0.93,express
ORD-00185,10.782492,106.695969,2025-04-25T03:17:00,1.96,normal
ORD-00186,10.770771,106.682103,2025-06-24T05:33:00,5.44,normal
ORD-00187,10.766159,106.714424,2025-01-15T14:13:00,2.62,normal
ORD-00188,10.786392,106.706274,2025-03-17T00:07:00,0.36,express
ORD-00189,10.764501,106.692068,2025-06-30T21:32:00,4.6,express
ORD-00190,10.760667,106.709885,2025-01-12T03:01:00,3.84,normal
ORD-00191,10.789898,106.699303,2025-05-28T02:45:00,5.23,express
ORD-00192,10.762261,106.678772,2025-03-25T19:51:00,7.6,express
ORD-00193,10.788785,106.712031,2025-01-24T03:54:00,1.12,express
ORD-00194,10.779788,106.697387,2025-04-12T23:47:00,2.91,express
ORD-00195,10.786827,106.680826,2025-06-12T17:33:00,4.23,express
ORD-00196,10.770991,106.713454,2025-06-15T18:15:00,1.09,express
ORD-00197,10.765299,106.700289,2025-06-17T16:11:00,7.62,express
ORD-00198,10.775166,106.698858,2025-05-30T04:43:00,7.42,express
ORD-00199,10.789977,106.701207,2025-02-09T04:04:00,3.91,express
ORD-00200,10.787464,106.699883,2025-04-02T06:04:00,2.69,express
ORD-00201,10.759391,106.691643,2025-03-15T16:41:00,6.95,normal
ORD-00202,10.780755,106.696762,2025-04-29T15:28:00,7.3,normal
ORD-00203,10.769896,106.695598,2025-02-08T15:28:00,1.1,express
ORD-00204,10.794348,106.68112,2025-06-15T19:02:00,2.21,express
ORD-00205,10.794666,106.697391,2025-06-06T19:23:00,3.17,express
ORD-00206,10.772334,106.706655,2025-06-23T15:50:00,5.16,express
ORD-00207,10.760439,106.681497,2025-06-24T02:18:00,2.24,normal
ORD-00208,10.770334,106.699561,2025-02-07T01:19:00,7.75,express
ORD-00209,10.762771,106.704227,2025-01-22T23:35:00,3.2,express
ORD-00210,10.788088,106.702794,2025-06-26T06:05:00,5.27,express
ORD-00211,10.776814,106.678675,2025-03-21T19:13:00,2.93,express
ORD-00212,10.765104,106.714999,2025-02-09T16:18:00,6.8,normal
ORD-00213,10.776785,106.697972,2025-05-15T15:42:00,2.89,normal
ORD-00214,10.780098,106.683707,2025-02-16T19:46:00,3.67,express
ORD-00215,10.771479,106.704625,2025-04-24T23:48:00,6.06,express
ORD-00216,10.766658,106.686849,2025-05-01T20:23:00,5.52,express
ORD-00217,10.775082,106.688426,2025-04-09T06:33:00,3.52,normal
ORD-00218,10.788225,106.707647,2025-02-05T22:03:00,5.24,express
ORD-00219,10.778518,106.681796,2025-05-13T17:18:00,0.95,normal
ORD-00220,10.768093,106.711496,2025-02-08T03:05:00,7.59,normal
ORD-00221,10.788218,106.710731,2025-01-08T03:03:00,3.35,express
ORD-00222,10.766724,106.714797,2025-04-06T21:01:00,2.75,normal
ORD-00223,10.78905,106.702049,2025-02-07T18:02:00,2.51,express
ORD-00224,10.783755,106.683135,2025-07-01T05:28:00,5.04,normal
ORD-00225,10.758703,106.685979,2025-02-09T06:27:00,1.16,express
ORD-00226,10.766793,106.682508,2025-03-04T03:40:00,6.41,express
ORD-00227,10.760324,106.708957,2025-05-08T14:40:00,4.27,normal
ORD-00228,10.784586,106.688777,2025-01-02T01:15:00,4.69,normal
ORD-00229,10.782582,106.681168,2025-04-03T16:33:00,4.49,normal
ORD-00230,10.772447,106.695395,2025-06-13T02:23:00,2.25,normal
ORD-00231,10.771212,106.6805,2025-03-03T17:49:00,4.78,express
ORD-00232,10.762936,106.691035,2025-03-28T19:53:00,6.3,express
ORD-00233,10.79429,106.695706,2025-02-16T18:04:00,5.81,express
ORD-00234,10.759368,106.685459,2025-02-21T15:20:00,7.49,express
ORD-00235,10.794598,106.698092,2025-03-06T15:48:00,5.28,express
ORD-00236,10.771208,106.706891,2025-06-18T00:17:00,1.26,express
ORD-00237,10.774167,106.692801,2025-04-24T02:21:00,7.8,express
ORD-00238,10.783607,106.691592,2025-05-13T22:51:00,0.94,express
ORD-00239,10.76092,106.700291,2025-02-16T23:20:00,1.09,express
ORD-00240,10.782454,106.68934,2025-06-05T03:10:00,5.61,express
ORD-00241,10.774544,106.704892,2025-04-02T03:17:00,5.22,normal
ORD-00242,10.760777,106.701588,2025-04-05T06:51:00,6.07,normal
ORD-00243,10.793253,106.683283,2025-06-06T04:02:00,1.27,normal
ORD-00244,10.786805,106.691554,2025-04-09T15:38:00,1.48,express
ORD-00245,10.793106,106.691764,2025-01-20T18:33:00,3.13,express
ORD-00246,10.782034,106.687236,2025-01-30T14:47:00,1.73,express
ORD-00247,10.791801,106.682357,2025-03-09T04:13:00,7.97,express
ORD-00248,10.783677,106.714949,2025-02-21T17:08:00,6.87,express
ORD-00249,10.764388,106.704395,2025-01-24T00:42:00,2.98,normal
ORD-00250,10.77835,106.688743,2025-03-18T19:45:00,5.76,normal
ORD-00251,10.787367,106.696824,2025-02-01T20:50:00,1.37,express
ORD-00252,10.758973,106.698499,2025-04-06T04:51:00,7.87,normal
ORD-00253,10.780642,106.68119,2025-03-22T02:45:00,5.84,express
ORD-00254,10.786459,106.708464,2025-01-19T18:20:00,5.25,express
ORD-00255,10.775236,106.697142,2025-02-02T19:49:00,7.74,express
ORD-00256,10.776606,106.710124,2025-02-02T06:09:00,2.64,normal
ORD-00257,10.769938,106.704245,2025-03-31T06:57:00,2.49,normal
ORD-00258,10.767272,106.701497,2025-05-22T22:08:00,5.11,normal
ORD-00259,10.776595,106.68424,2025-05-29T18:10:00,5.37,express
ORD-00260,10.789174,106.698854,2025-01-08T16:02:00,7.6,express
ORD-00261,10.782092,106.706377,2025-04-17T14:31:00,7.15,express
ORD-00262,10.781751,106.689177,2025-03-05T02:19:00,3.79,normal
ORD-00263,10.763849,106.693378,2025-04-29T20:21:00,4.97,express
ORD-00264,10.789875,106.689815,2025-03-31T02:08:00,6.16,normal
ORD-00265,10.769807,106.695259,2025-03-11T04:15:00,1.38,normal
ORD-00266,10.768738,106.692214,2025-06-08T03:15:00,7.71,normal
ORD-00267,10.788099,106.712549,2025-03-22T20:48:00,1.53,express
ORD-00268,10.776454,106.689416,2025-01-06T16:25:00,4.19,normal
ORD-00269,10.76596,106.691057,2025-01-13T23:31:00,4.9,express
ORD-00270,10.768573,106.678303,2025-01-29T03:08:00,7.09,express
ORD-00271,10.786263,106.69154,2025-04-13T15:36:00,4.63,express
ORD-00272,10.778469,106.680721,2025-05-11T04:48:00,4.53,normal
ORD-00273,10.762761,106.681577,2025-04-07T00:35:00,7.53,normal
ORD-00274,10.765365,106.696838,2025-05-09T15:02:00,0.6,express
ORD-00275,10.787747,106.697215,2025-02-09T06:08:00,2.83,express
ORD-00276,10.764013,106.714653,2025-03-19T00:32:00,6.68,express
ORD-00277,10.784223,106.689092,2025-01-06T01:21:00,5.49,express
ORD-00278,10.779597,106.70748,2025-06-26T14:38:00,3.95,normal
ORD-00279,10.784692,106.69959,2025-02-14T06:40:00,5.85,express
ORD-00280,10.763468,106.703187,2025-01-09T17:12:00,0.45,express
ORD-00281,10.773495,106.69328,2025-02-23T03:32:00,6.27,express
ORD-00282,10.790294,106.705226,2025-01-16T18:33:00,1.9,express
ORD-00283,10.794931,106.6957,2025-04-08T00:11:00,3.84,express
ORD-00284,10.778212,106.703007,2025-06-24T22:39:00,4.03,normal
ORD-00285,10.768323,106.689044,2025-03-18T23:45:00,1.9,express
ORD-00286,10.769731,106.690906,2025-03-12T23:07:00,4.72,express
ORD-00287,10.791143,106.692598,2025-03-30T18:18:00,0.62,normal
ORD-00288,10.770815,106.694368,2025-03-08T05:13:00,1.86,express
ORD-00289,10.792522,106.703758,2025-02-05T17:39:00,6.0,normal
ORD-00290,10.766971,106.702784,2025-05-16T21:40:00,2.09,normal
ORD-00291,10.773292,106.704542,2025-01-26T18:00:00,7.73,normal
ORD-00292,10.773056,106.712596,2025-05-03T05:41:00,1.84,express
ORD-00293,10.769883,106.701898,2025-01-23T21:34:00,5.99,normal
ORD-00294,10.791789,106.684477,2025-02-15T15:53:00,3.36,express
ORD-00295,10.764894,106.705713,2025-03-16T15:00:00,2.6,normal
ORD-00296,10.792353,106.690397,2025-04-28T06:31:00,7.15,normal
ORD-00297,10.789489,106.695317,2025-02-19T17:21:00,1.55,express
ORD-00298,10.781987,106.704588,2025-01-05T00:50:00,2.57,normal
ORD-00299,10.764493,106.709677,2025-04-15T03:32:00,2.83,express
ORD-00300,10.782762,106.684837,2025-02-06T05:20:00,7.51,normal
ORD-00301,10.767649,106.686714,2025-03-11T00:19:00,4.78,normal
ORD-00302,10.767677,106.691303,2025-03-02T15:42:00,1.21,express
ORD-00303,10.76391,106.703385,2025-06-30T23:44:00,1.2,express
ORD-00304,10.771599,106.686171,2025-02-05T05:09:00,3.8,express
ORD-00305,10.773386,106.698322,2025-05-01T20:48:00,2.21,normal
ORD-00306,10.777444,106.697542,2025-04-03T16:58:00,4.64,normal
ORD-00307,10.788665,106.711407,2025-02-21T18:10:00,2.83,express
ORD-00308,10.762301,106.6856,2025-05-31T05:05:00,7.22,express
ORD-00309,10.787922,106.694777,2025-05-13T03:29:00,4.64,express
ORD-00310,10.782892,106.689402,2025-01-07T02:16:00,6.59,normal
ORD-00311,10.779398,106.679676,2025-03-30T16:34:00,7.95,normal
ORD-00312,10.794487,106.695467,2025-03-16T03:11:00,6.22,express
ORD-00313,10.771855,106.710979,2025-04-26T02:24:00,0.92,normal
ORD-00314,10.782181,106.690867,2025-02-16T02:33:00,1.28,normal
ORD-00315,10.788888,106.705979,2025-03-19T04:43:00,5.84,express
ORD-00316,10.777682,106.708464,2025-03-06T04:22:00,1.49,normal
ORD-00317,10.792684,106.704826,2025-01-29T15:51:00,5.38,normal
ORD-00318,10.766905,106.68049,2025-06-02T15:28:00,4.9,normal
ORD-00319,10.767055,106.679637,2025-04-23T21:34:00,1.97,normal
ORD-00320,10.763185,106.714759,2025-03-02T00:36:00,4.9,express
ORD-00321,10.766765,106.710422,2025-06-20T06:14:00,3.48,express
ORD-00322,10.760255,106.713095,2025-02-15T03:35:00,4.12,express
ORD-00323,10.792839,106.70284,2025-05-16T00:44:00,3.51,normal
ORD-00324,10.769096,106.684804,2025-05-19T05:15:00,6.84,express
ORD-00325,10.789729,106.683341,2025-04-29T15:35:00,3.48,express
ORD-00326,10.77862,106.682961,2025-03-04T22:13:00,2.84,normal
ORD-00327,10.792122,106.709344,2025-01-24T20:03:00,2.37,normal
ORD-00328,10.790324,106.684962,2025-05-31T20:30:00,1.91,express
ORD-00329,10.769218,106.711633,2025-02-24T20:47:00,1.2,express
ORD-00330,10.791834,106.703738,2025-06-30T20:25:00,7.35,express
ORD-00331,10.786694,106.692084,2025-05-18T01:19:00,2.31,express
ORD-00332,10.775242,106.707704,2025-05-02T00:58:00,1.86,express
ORD-00333,10.773315,106.698813,2025-02-26T18:01:00,2.31,express
ORD-00334,10.768922,106.685259,2025-03-01T02:36:00,6.72,express
ORD-00335,10.778374,106.712908,2025-03-28T22:48:00,6.63,express
ORD-00336,10.775051,106.705113,2025-04-01T19:08:00,5.85,express
ORD-00337,10.76481,106.710906,2025-06-14T15:33:00,0.56,normal
ORD-00338,10.792972,106.702724,2025-01-03T03:08:00,6.79,normal
ORD-00339,10.760515,106.683588,2025-02-26T06:29:00,3.17,express
ORD-00340,10.782394,106.678582,2025-05-18T03:00:00,0.43,express
ORD-00341,10.777822,106.688607,2025-05-10T03:51:00,7.54,normal
ORD-00342,10.76196,106.681564,2025-02-08T21:12:00,5.07,express
ORD-00343,10.788163,106.687891,2025-04-12T16:23:00,7.69,express
ORD-00344,10.778905,106.714639,2025-02-27T23:43:00,6.68,normal
ORD-00345,10.782188,106.709754,2025-01-09T16:25:00,3.22,express
ORD-00346,10.760076,106.67835,2025-02-13T16:31:00,6.81,express
ORD-00347,10.778937,106.709745,2025-01-26T06:58:00,0.63,normal
ORD-00348,10.791347,106.703615,2025-05-27T05:17:00,0.66,normal
ORD-00349,10.783324,106.688374,2025-05-20T15:11:00,7.45,express
ORD-00350,10.758579,106.685665,2025-02-07T02:59:00,0.89,normal
ORD-00351,10.778866,106.698968,2025-04-11T00:24:00,6.12,normal
ORD-00352,10.787248,106.703504,2025-01-22T06:47:00,7.8,normal
ORD-00353,10.761614,106.686589,2025-01-21T00:38:00,6.22,express
ORD-00354,10.79385,106.690076,2025-06-12T22:50:00,7.94,express
ORD-00355,10.766441,106.698462,2025-04-08T03:11:00,5.53,express
ORD-00356,10.761171,106.700889,2025-03-05T16:05:00,2.36,express
ORD-00357,10.784332,106.701454,2025-04-11T00:23:00,1.12,normal
ORD-00358,10.79289,106.694455,2025-03-11T17:08:00,0.97,express
ORD-00359,10.774607,106.698525,2025-04-15T17:01:00,0.99,normal
ORD-00360,10.780086,106.707024,2025-04-09T14:18:00,3.49,normal
ORD-00361,10.784819,106.698703,2025-03-05T06:10:00,5.58,normal
ORD-00362,10.763137,106.689142,2025-05-07T18:04:00,1.59,express
ORD-00363,10.773581,106.695917,2025-01-21T01:16:00,7.57,express
ORD-00364,10.779971,106.685235,2025-01-28T18:19:00,0.35,express
ORD-00365,10.770292,106.700947,2025-03-27T04:21:00,3.62,normal
ORD-00366,10.769116,106.700319,2025-06-27T20:30:00,2.72,express
ORD-00367,10.793843,106.688784,2025-06-28T05:36:00,6.32,express
ORD-00368,10.771914,106.70821,2025-04-12T01:07:00,7.48,normal
ORD-00369,10.779912,106.698188,2025-06-24T14:46:00,3.85,normal
ORD-00370,10.774223,106.688779,2025-06-27T16:52:00,6.83,express
ORD-00371,10.7829,106.68315,2025-03-19T21:16:00,5.37,express
ORD-00372,10.787196,106.680737,2025-06-04T05:37:00,3.39,express
ORD-00373,10.778115,106.707257,2025-04-03T16:06:00,6.22,express
ORD-00374,10.764155,106.700669,2025-05-26T02:48:00,2.85,express
ORD-00375,10.76192,106.681648,2025-02-27T06:47:00,4.29,normal
ORD-00376,10.774494,106.692472,2025-06-24T06:09:00,2.96,normal
ORD-00377,10.775863,106.688931,2025-01-22T17:53:00,7.54,normal
ORD-00378,10.770888,106.690693,2025-02-23T06:30:00,2.98,normal
ORD-00379,10.774212,106.70378,2025-03-23T16:19:00,0.64,normal
ORD-00380,10.758836,106.690694,2025-01-28T19:59:00,7.88,normal
ORD-00381,10.777092,106.698421,2025-03-27T03:29:00,2.09,express
ORD-00382,10.781301,106.684896,2025-06-19T03:25:00,0.52,normal
ORD-00383,10.774634,106.693893,2025-01-02T20:13:00,2.44,normal
